question,pdf_answers,local_answers,match
1,ABCD,ABCD,yes
2,B,B,yes
3,ABD,ABD,yes
4,B,B,yes
5,CD,CD,yes
6,C,C,yes
7,ABCD,ABCD,yes
8,B,B,yes
9,BD,BD,yes
10,BD,BD,yes
11,D,D,yes
12,AC,AC,yes
13,ABCD,ABCD,yes
14,ACD,ACD,yes
15,A,A,yes
16,B,B,yes
17,ABD,ABD,yes
18,B,B,yes
19,AC,AC,yes
20,ABC,ABC,yes
21,ABC,ABC,yes
22,ABCD,ABCD,yes
23,BD,BD,yes
24,AB,AB,yes
25,BCD,BCD,yes
26,D,D,yes
27,ABD,ABD,yes
28,ABD,ABD,yes
29,AB,AB,yes
30,ACD,ACD,yes
31,ABD,ABD,yes
32,ABC,ABC,yes
33,C,C,yes
34,BC,BC,yes
35,ABC,ABC,yes
36,ACD,ACD,yes
37,ABCD,ABCD,yes
38,ACD,ACD,yes
39,BCD,BCD,yes
40,BD,BD,yes
41,D,D,yes
42,BCD,BCD,yes
43,ACD,ACD,yes
44,ABD,ABD,yes
45,ACD,ACD,yes
46,D,D,yes
47,AC,AC,yes
48,ABD,ABD,yes
49,ABD,ABD,yes
50,B,B,yes
51,C,C,yes
52,ABC,ABC,yes
53,C,C,yes
54,AC,AC,yes
55,CD,CD,yes
56,C,C,yes
57,BD,BD,yes
58,AB,AB,yes
59,AB,AB,yes
60,ABC,ABC,yes
61,AB,AB,yes
62,CD,CD,yes
63,B,B,yes
64,D,D,yes
65,B,B,yes
66,AC,AC,yes
67,ABD,ABD,yes
68,AC,AC,yes
69,CD,CD,yes
70,BC,BC,yes
71,AB,AB,yes
72,BCD,BCD,yes
73,A,A,yes
74,AC,AC,yes
75,A,A,yes
76,B,B,yes
77,A,A,yes
78,AC,AC,yes
79,ACD,ACD,yes
80,AB,AB,yes
81,CD,CD,yes
82,A,A,yes
83,BD,BD,yes
84,BCD,BCD,yes
85,ABC,ABC,yes
86,ABC,ABC,yes
87,AC,AC,yes
88,ABC,ABC,yes
89,BC,BC,yes
90,ACD,ACD,yes
91,CD,CD,yes
92,BC,BC,yes
93,BCD,BCD,yes
94,ABD,ABD,yes
95,BD,BD,yes
96,AB,AB,yes
97,ABC,ABC,yes
98,B,B,yes
99,ABD,ABD,yes
100,BC,BC,yes
101,A,A,yes
102,C,C,yes
103,ABC,ABC,yes
104,B,B,yes
105,AD,AD,yes
106,B,B,yes
107,ACD,ACD,yes
108,ABCD,ABCD,yes
109,BCD,BCD,yes
110,ACD,ACD,yes
111,B,B,yes
112,D,D,yes
113,BD,BD,yes
114,AD,AD,yes
115,D,D,yes
116,B,B,yes
117,BCD,BCD,yes
118,A,A,yes
119,BCD,BCD,yes
120,AB,AB,yes
121,BCD,BCD,yes
122,B,B,yes
123,BCD,BCD,yes
124,B,B,yes
125,ACD,ACD,yes
126,ABD,ABD,yes
127,A,A,yes
128,D,D,yes
129,BC,BC,yes
130,CD,CD,yes
131,AD,AD,yes
132,ABC,ABC,yes
133,BD,BD,yes
134,AB,AB,yes
135,ABC,ABC,yes
136,A,A,yes
137,ABD,ABD,yes
138,BD,BD,yes
139,AB,AB,yes
140,C,C,yes
141,B,B,yes
142,AC,AC,yes
143,BC,BC,yes
144,BC,BC,yes
145,AB,AB,yes
146,ABD,ABD,yes
147,ABD,ABD,yes
148,CD,CD,yes
149,BD,BD,yes
150,ABC,ABC,yes
151,BC,BC,yes
152,AD,AD,yes
153,BC,BC,yes
154,AC,AC,yes
155,AC,AC,yes
156,BC,BC,yes
157,BC,BC,yes
158,ABCD,ABCD,yes
159,AB,AB,yes
160,BCD,BCD,yes
161,ABCD,ABCD,yes
162,AD,AD,yes
163,CD,CD,yes
164,ABD,ABD,yes
165,A,A,yes
166,ACD,ACD,yes
167,ABC,ABC,yes
168,ACD,ACD,yes
169,ABD,ABD,yes
170,A,A,yes
171,ABCD,ABCD,yes
172,BD,BD,yes
173,AC,AC,yes
174,BC,BC,yes
175,ABD,ABD,yes
176,AD,AD,yes
177,AD,AD,yes
178,ACD,ACD,yes
179,ABD,ABD,yes
180,ACD,ACD,yes
181,ABCD,ABCD,yes
182,AB,AB,yes
183,ABCD,ABCD,yes
184,BCD,BCD,yes
185,ABD,ABD,yes
186,ABD,ABD,yes
187,BCD,BCD,yes
188,AD,AD,yes
189,ABC,ABC,yes
190,BCD,BCD,yes
191,BCD,BCD,yes
192,BCD,BCD,yes
193,BCD,BCD,yes
194,ABD,ABD,yes
195,BCD,BCD,yes
196,BCD,BCD,yes
197,BC,BC,yes
